order_id,customer_id,order_date,delivery_date,customer_segment,region,country,city,ev_model,battery_capacity_kwh,range_km,charging_type,autopilot_package,purchase_channel,base_price_usd,incentives_usd,final_price_usd,warranty_years,service_plan,customer_age,satisfaction_score,issues_reported,returned,energy_consumption_kwh_per_100km,mileage_after_1_year_km,maintenance_cost_year1_usd
500021,2332,9/1/2022,26-Jan-22,CORPORATE,NORTH,MALAYSIA,Penang,EcoRide 5,70,367,home charger,No,Dealership,44040,2500,43440,3,premium,46,10,SOFTWARE,No,18.4,25470,534.56
500022,1769,13/2/2024,16-Feb-24,government,NORTH,thailand,BANGKOK,UrbanEV,75,427,Supercharger,Yes,online,,2500,36220,6,  Standard  ,43,9.9,none,No,12.4,25330,709.79
500023,1343,11/8/2022,25/8/2022,PERSONAL,EAST,malaysia,Penang,EcoRide 3,100,592,AC,No,dealership,51030,5000,45020,4,STANDARD,38,6.4,  Software  ,No,21.5,25880,618.31
500024,2515,7/7/2023,12/7/2023,  Personal  ,west,indonesia,Surabaya,VoltX Pro,75,461,home charger,Yes,dealership,41060,5000,36340,5,Extended,63,9.3,NONE,No,20,23510,610.44
500025,2437,17/12/2023,12-30-2023,fleet,east,malaysia,Johor Bahru,EcoRide 3,60,,  AC  ,No,ONLINE,47370,0,,4,Extended,47,6,  None  ,No,17.9,8570,786.84
500026,1805,04-21-2022,25-Apr-22,government,North,indonesia,  Surabaya  ,VoltX S,90,552,dc fast,Yes,Online,53700,0,52930,6,standard,65,10,NONE,No,10,14900,805.68
500027,1385,9/8/2022,26/9/2022,Corporate,North,Malaysia,SHAH ALAM,EcoRide 3,60,414,supercharger,No,DEALERSHIP,49990,2500,48340,5,Standard,26,3.6,SOFTWARE,No,16,12950,521.63
500028,2215,18/1/2023,29-Jan-23,  Personal  ,West,  Malaysia  ,Kuala Lumpur,VoltX S,,544,ac,No,online,47990,5000,42740,7,extended,56,7.1,NONE,No,22.7,14480,617.71
500029,1955,7/1/2022,24-Jan-22,Corporate,west,  Malaysia  ,,EcoRide 5,50,302,AC,Yes,dealership,49580,1000,48760,5,Extended,62,9.5,  Battery  ,No,18.4,15070,842.73
500030,1276,4-Apr-23,04-18-2023,Personal,East,singapore,Singapore,VoltX Pro,60,368,  AC  ,Yes,  Dealership  ,45280,2500,43320,7,EXTENDED,57,7.2,,No,13.4,29260,299.14
500031,2184,27/7/2022,30/7/2022,  Government  ,East,malaysia,Kuala Lumpur,FamilyEV XL,50,,supercharger,Yes,  Online  ,50680,5000,43910,5,premium,31,10,None,No,15.3,31340,595.6
500032,1459,18/6/2024,3/7/2024,GOVERNMENT,North,indonesia,Surabaya,VoltX S,50,307,DC FAST,Yes,  Dealership  ,37490,5000,33730,7,STANDARD,58,7.1,NONE,No,15.8,26500,295.58
500033,2337,22/1/2022,7-Feb-22,PERSONAL,West,MALAYSIA,penang,EcoRide 3,50,275,  DC Fast  ,Yes,dealership,,2500,55010,4,STANDARD,28,9.3,  None  ,No,20.4,15050,425.26
500034,1021,14/2/2023,24/2/2023,PERSONAL,West,Malaysia,Kuala Lumpur,EcoRide 3,70,444,supercharger,Yes,CORPORATE FLEET,43910,0,45190,5,extended,47,8.2,  Software  ,No,12.5,15540,767.62
500035,1252,06-13-2024,06-23-2024,PERSONAL,south,  Indonesia  ,jakarta,EcoRide 5,80,560,Supercharger,No,  Dealership  ,46240,0,42650,5,  Extended  ,44,9,None,No,20.2,17480,331.23
500036,1747,30-May-23,13-Jun-23,Personal,  East  ,  Malaysia  ,  Kuala Lumpur  ,UrbanEV,80,452,Supercharger,Yes,Dealership,,1000,42040,3,premium,46,3.25,NONE,No,19.4,16870,718.09
500037,1856,19-Mar-24,22/3/2024,CORPORATE,  North  ,VIETNAM,Ho Chi Minh City,FamilyEV XL,75,449,DC FAST,Yes,online,49240,0,47380,5,EXTENDED,,5.2,BATTERY,No,23.7,31240,378.54
500038,2584,23/5/2024,6/5/2024,PERSONAL,  North  ,VIETNAM,,UrbanEV,50,273,AC,No,Online,52380,5000,48570,6,Extended,67,3.3,  None  ,No,18.6,12500,719.87
500039,1474,14-Jan-22,24/1/2022,PERSONAL,North,malaysia,Kuala Lumpur,EcoRide 3,70,441,AC,Yes,  Online  ,38060,0,39260,5,EXTENDED,65,7.4,none,No,13.3,24200,792.67
500040,2082,28/8/2024,9/9/2024,  Personal  ,north,Malaysia,SHAH ALAM,UrbanEV,60,378,Supercharger,No,Dealership,44520,0,44890,4,Standard,61,3.85,  Charging  ,No,16.9,13080,318.71
500041,1510,4-Sep-24,25/9/2024,government,South,Malaysia,  Johor Bahru  ,FamilyEV XL,60,324,  Supercharger  ,No,online,46190,0,43550,4,EXTENDED,27,3.65,NONE,No,14,25470,627.59
500042,2705,10/10/2024,23/10/2024,Fleet,,Indonesia,Jakarta,FamilyEV XL,75,411,home charger,No,dealership,48050,2500,45560,4,STANDARD,46,4.8,MOTOR,No,18.2,19320,721.91
500043,2499,1/11/2024,10-Nov-24,PERSONAL,EAST,thailand,chiang mai,VoltX Pro,75 kWh,388,ac,Yes,ONLINE,"42,960",2500,"39,340",8,Standard,44,7,None,No,22.2,"14,150",413.48
500044,1699,03-28-2022,10/4/2022,Personal,south,Thailand,CHIANG MAI,UrbanEV,50,331,ac,No,DEALERSHIP,"41,980",2500,"39,620",5,standard,49,4.05,none,No,14.4,"18,090",613.74
500045,1975,27-Jun-24,16/7/2024,  Government  ,SOUTH,Indonesia,surabaya,VoltX Pro,50,283,  AC  ,Yes,Dealership,51200,5000,46190,5,PREMIUM,,,Motor,No,19.8,25500,260.92
500046,2806,5/2/2022,5/5/2022,  Corporate  ,  North  ,malaysia,  Kuala Lumpur  ,EcoRide 3,60,357,AC,No,  Dealership  ,48560,1000,48600,5,PREMIUM,66,7.4,  Software  ,No,15.1,10600,938.29
500047,1189,20/1/2024,30/1/2024,personal,  East  ,indonesia,  Surabaya  ,EcoRide 3,60,351,  DC Fast  ,Yes,CORPORATE FLEET,46510,0,46350,4,  Standard  ,53,7.3,None,No,12.3,17610,351.01
500048,1957,16/11/2023,11-24-2023,PERSONAL,south,thailand,Bangkok,EcoRide 3,60,384,home charger,No,dealership,53750,5000,50420,4,Extended,34,4.05,  None  ,No,21.8,20690,442.3
500049,1686,5-Nov-22,11-25-2022,personal,South,thailand,Bangkok,EcoRide 5,60,376,  DC Fast  ,Yes,  Online  ,35640,5000,,5,premium,63,6.4,None,No,17.7,12370,473.39
500050,1957,26-Nov-23,12/4/2023,  Personal  ,WEST,  Indonesia  ,jakarta,UrbanEV,80,499,dc fast,No,Dealership,50590,0,140900,6,EXTENDED,61,7.6,none,No,18.5,15330,516.34
500051,1562,15/10/2022,22/10/2022,  Fleet  ,east,Thailand,  Chiang Mai  ,VoltX S,50,,supercharger,No,  Dealership  ,,0,"47,530",7,extended,64,7.4,Software,Yes,19.6,32170 km,589.58
500052,2899,3/11/2022,18/11/2022,  Corporate  ,,Malaysia,JOHOR BAHRU,FamilyEV XL,,314,  AC  ,Yes,dealership,34820,5000,31110,7,STANDARD,44,3.05,none,No,11.9,12740,586.32
500053,2590,2/7/2024,23/7/2024,Personal,  South  ,SINGAPORE,  Singapore  ,VoltX S,60,382,SUPERCHARGER,Yes,DEALERSHIP,53160,1000,53580,7,STANDARD,62,7.7,NONE,No,,18250,278.01
500054,2267,24-Oct-23,3/11/2023,  Corporate  ,NORTH,SINGAPORE,SINGAPORE,EcoRide 3,70,438,dc fast,Yes,  Online  ,49130,1000,45450,4,  Standard  ,47,5,None,No,12.1,25390,250.25
500055,1831,3-Jul-23,14/7/2023,PERSONAL,East,malaysia,johor bahru,UrbanEV,60,329,,Yes,dealership,50060,5000,43860,3,  Premium  ,35,3.5,  None  ,No,15.4,21480,839.67
500056,2528,8-Nov-22,11-27-2022,Corporate,north,VIETNAM,hanoi,VoltX Pro,90 kWh,499,dc fast,Yes,ONLINE,,0,"42,240",4,  Extended  ,,8.5,none,No,20.4,18000 km,731.56
500057,2154,05-22-2024,27/5/2024,  Corporate  ,  South  ,MALAYSIA,Shah Alam,VoltX S,100,669,DC FAST,No,Dealership,50340,2500,49250,5,PREMIUM,53,8.6,none,No,18.3,27490,239.53
500058,2508,18/12/2024,8-Jan-25,  Personal  ,north,THAILAND,BANGKOK,EcoRide 3,100,678,AC,No,Online,39880,0,41140,5,STANDARD,60,8,Battery,No,15.1,7460,579.21
500059,2842,12-Jul-24,25/7/2024,Personal,  West  ,  Singapore  ,Singapore,VoltX S,75,448,AC,No,  Online  ,35580,0,36580,6,  Extended  ,49,8.3,None,No,17.1,26900,662.52
500060,1646,25-Jan-24,13/2/2024,  Fleet  ,North,malaysia,  Shah Alam  ,VoltX S,90,537,dc fast,Yes,DEALERSHIP,44910,2500,43550,5,Extended,63,8.9,None,No,16.6,15350,912.68
500061,1020,2/4/2022,25/2/2022,Personal,west,  Vietnam  ,hanoi,FamilyEV XL,70,424,ac,No,dealership,49730,0,51440,5,  Extended  ,58,4.1,  Motor  ,No,17.9,4110,405.03
500062,1840,21/3/2023,25/3/2023,personal,,INDONESIA,  Surabaya  ,VoltX S,75,467,AC,No,CORPORATE FLEET,52100,2500,50160,5,PREMIUM,56,9.8,BATTERY,No,15.1,37090,704.32
500063,1166,3/4/2022,13-Apr-22,  Personal  ,south,Singapore,singapore,EcoRide 3,100,542,  DC Fast  ,Yes,Online,46050,0,47140,3,standard,65,4.8,None,No,16.6,22260,645.34
500064,2297,12-19-2022,9-Jan-23,government,East,Malaysia,Johor Bahru,FamilyEV XL,70,,dc fast,No,  Dealership  ,45510,0,45940,6,STANDARD,47,9.2,Other,No,17.5,27380,362.32
500065,1387,21-Jun-24,30/6/2024,personal,East,Malaysia,JOHOR BAHRU,EcoRide 3,75,,Supercharger,Yes,dealership,52100,0,53160,7,STANDARD,45,2.35,charging,No,18.3,29530,431.1
500066,1600,11-May-24,30/5/2024,corporate,WEST,,KUALA LUMPUR,EcoRide 5,60,360,  Home Charger  ,No,  Online  ,42660,5000,37180,5,Standard,43,,  None  ,No,17.7,15530,349.74
500067,1315,8-Jun-22,16-Jun-22,  Personal  ,SOUTH,MALAYSIA,Kuala Lumpur,EcoRide 5,60,339,SUPERCHARGER,No,Online,41070,1000,,6,STANDARD,49,9.1,BATTERY,No,12.1,20180,572.13
500068,1013,08-14-2024,9/4/2024,CORPORATE,WEST,Singapore,SINGAPORE,EcoRide 5,70,402,DC FAST,No,Online,56330,1000,54670,5,  Standard  ,47,8.9,None,No,13.2,21750,190.92
500069,1241,01-24-2022,1/2/2022,  Fleet  ,south,vietnam,HO CHI MINH CITY,VoltX S,75,455,SUPERCHARGER,No,Corporate Fleet,43060,1000,41780,4,standard,43,6.5,  None  ,No,18.9,17080,456.4
500070,1776,8/2/2023,12/2/2023,  Corporate  ,west,  Thailand  ,Bangkok,UrbanEV,80 kWh,460,DC FAST,No,Dealership,"51,420",2500,"49,740",3,extended,29,7.9,NONE,No,16.2,"30,320",428.5
500071,2369,15-Mar-24,23/3/2024,  Personal  ,SOUTH,INDONESIA,JAKARTA,EcoRide 3,70,389,AC,No,online,54520,0,56170,4,Extended,43,7.1,NONE,No,,31320,100
500072,1564,31/5/2023,6/7/2023,  Fleet  ,SOUTH,thailand,Bangkok,EcoRide 5,70,461,ac,Yes,  Online  ,46470,5000,40860,5,Standard,59,9.3,none,No,16.2,21090,561.7
500073,1897,1/2/2024,23/1/2024,FLEET,West,Singapore,  Singapore  ,UrbanEV,90 kWh,501,,Yes,  Online  ,"46,850",7500,"41,880",3,STANDARD,36,7.9,  Charging  ,No,16.2,"25,490",635.48
500074,2363,16/6/2023,06-22-2023,  Personal  ,WEST,indonesia,  Surabaya  ,EcoRide 5,50,254,  Supercharger  ,No,DEALERSHIP,57580,1000,56360,6,extended,63,7,  None  ,No,11.7,27980,210.14
500075,1091,08-13-2024,9/1/2024,  Personal  ,East,Singapore,SINGAPORE,EcoRide 5,70,436,Home Charger,No,CORPORATE FLEET,35840,1000,34860,8,  Standard  ,49,8.6,MOTOR,No,22.2,23970,500.53
500076,2390,1-Jun-22,14/6/2022,  Personal  ,  North  ,indonesia,  Surabaya  ,UrbanEV,80,471,dc fast,Yes,DEALERSHIP,35730,5000,31020,3,Standard,,4.45,CHARGING,No,16.7,17970,224.79
500077,1955,4/8/2024,10/8/2024,  Personal  ,south,  Malaysia  ,johor bahru,EcoRide 5,60,359,Home Charger,No,  Online  ,50710,1000,49080,4,extended,36,7.7,  Software  ,No,17,4620,524.43
500078,2478,31/8/2023,15-Sep-23,  Corporate  ,west,malaysia,kuala lumpur,VoltX S,75,455,AC,Yes,Dealership,42140,5000,36640,6,Standard,51,9,NONE,No,17.2,22660,733.84
500079,2451,24-Feb-23,15/3/2023,  Personal  ,WEST,INDONESIA,  Surabaya  ,VoltX S,50,325,DC FAST,No,Corporate Fleet,,0,50730,6,standard,28,10,software,No,19.9,27570,398.45
500080,1508,15-May-24,26-May-24,PERSONAL,  West  ,thailand,Bangkok,FamilyEV XL,75,506,home charger,Yes,dealership,44610,1000,42440,5,STANDARD,43,4.9,NONE,No,,15390,441.21
500081,1775,8/1/2023,7-Aug-23,  Corporate  ,NORTH,indonesia,  Jakarta  ,VoltX S,60,366,ac,Yes,  Corporate Fleet  ,,7500,42510,5,Standard,69,9.8,battery,No,16.8,23200,922.74
500082,2966,12/1/2022,12-17-2022,  Personal  ,  South  ,VIETNAM,  Ho Chi Minh City  ,VoltX Pro,70,387,AC,Yes,online,38830,1000,37750,7,Premium,48,10,NONE,No,14.4,25120,351.01
500083,1034,07-20-2024,10/8/2024,  Personal  ,east,malaysia,Johor Bahru,FamilyEV XL,90,,DC FAST,Yes,dealership,49290,1000,47880,5,,66,,Charging,No,20.7,25160,312.89
500084,1205,22/10/2022,27/10/2022,PERSONAL,WEST,singapore,Singapore,EcoRide 5,80,,supercharger,Yes,Dealership,41490,2500,38340,3,Premium,52,7.5,NONE,No,17.2,22870,498.95
500085,2104,25/1/2024,10/2/2024,GOVERNMENT,North,malaysia,  Johor Bahru  ,VoltX Pro,50,320,ac,Yes,DEALERSHIP,50040,5000,46070,8,Standard,57,2.85,Software,No,18.8,15000,983.31
500086,2955,7/5/2022,15-Jul-22,  Corporate  ,WEST,Thailand,Bangkok,EcoRide 3,80,,dc fast,Yes,  Dealership  ,61550,0,59800,4,  Premium  ,59,4.05,charging,No,13.7,30440,550.68
500087,2585,29/9/2023,2-Oct-23,CORPORATE,East,Indonesia,JAKARTA,UrbanEV,100,578,  AC  ,Yes,Online,39370,5000,34960,3,premium,40,7.4,battery,No,18.9,21690,368.42
500088,2895,14-Jun-23,26/6/2023,Personal,north,  Malaysia  ,  Shah Alam  ,EcoRide 3,80,451,DC FAST,Yes,  Online  ,42520,2500,40170,5,standard,36,5.9,NONE,No,12.7,18240,619.17
500089,2411,21/1/2022,10-Feb-22,Corporate,South,thailand,bangkok,VoltX Pro,80,476,  Home Charger  ,No,CORPORATE FLEET,44110,7500,36890,4,standard,40,7,None,No,15.8,10510,649.01
500090,2025,29/6/2024,17-Jul-24,Personal,South,THAILAND,Chiang Mai,VoltX S,80,432,AC,No,online,47260,2500,43530,8,  Standard  ,35,3.95,none,No,17.4,24830,621.34
500091,2021,16/5/2024,26/5/2024,PERSONAL,EAST,  Malaysia  ,Johor Bahru,EcoRide 5,60,369,ac,Yes,CORPORATE FLEET,28960,2500,25900,5,standard,67,4.2,  None  ,No,22.2,39190,656.54
500092,2413,4-Mar-24,7/3/2024,Personal,north,indonesia,surabaya,FamilyEV XL,80,486,  DC Fast  ,Yes,Dealership,45230,5000,40620,6,standard,52,3.25,NONE,No,19,20350,687.2
500093,1565,10/4/2022,24-Apr-22,FLEET,North,  Thailand  ,  Chiang Mai  ,EcoRide 5,90,546,DC Fast,No,DEALERSHIP,"43,470",0,"42,930",4,extended,47,4.4,None,No,,18590 km,474.29
500094,2129,01-22-2024,1/2/2024,personal,WEST,vietnam,Ho Chi Minh City,VoltX S,80,503,AC,Yes,Corporate Fleet,43520,5000,36980,4,premium,41,7.6,  Software  ,No,18.4,21910,474.29
500095,2795,23/4/2023,5/11/2023,Personal,NORTH,Malaysia,  Johor Bahru  ,EcoRide 5,60,395,  DC Fast  ,No,DEALERSHIP,47060,0,46790,5,STANDARD,43,3.3,None,No,13.7,21470,668.21
500096,2845,28/7/2024,17-Aug-24,PERSONAL,  North  ,Malaysia,  Kuala Lumpur  ,UrbanEV,75,,Home Charger,Yes,dealership,47480,0,47290,7,extended,35,7.3,MOTOR,No,13.7,19430,100
500097,2500,10/6/2023,06-16-2023,PERSONAL,south,singapore,Singapore,UrbanEV,60,362,ac,Yes,ONLINE,,2500,45600,4,extended,28,4.9,  None  ,No,19.3,36530,100
500098,1702,30/11/2022,8-Dec-22,Corporate,east,Malaysia,  Penang  ,UrbanEV,100,585,  AC  ,Yes,  Dealership  ,37460,0,38600,5,  Standard  ,34,7.5,Software,No,14,22310,380.47
500099,1401,2/1/2022,16-Jan-22,Personal,west,  Vietnam  ,Ho Chi Minh City,EcoRide 3,100,622,DC Fast,Yes,  Dealership  ,43250,5000,38390,3,Extended,43,8.6,  None  ,No,12.4,12880,431.37
500100,1729,10/1/2023,21-Jan-23,  Corporate  ,south,  Malaysia  ,Shah Alam,VoltX S,90,540,  DC Fast  ,No,DEALERSHIP,42950,5000,38390,6,extended,60,7.3,Motor,No,14.1,13760,638.86
500101,2579,20/10/2022,11/6/2022,  Personal  ,,INDONESIA,  Jakarta  ,UrbanEV,,582,ac,Yes,dealership,48690,0,49750,7,  Extended  ,67,4.1,  None  ,No,,29970,403.95
500102,1161,16/4/2024,4/5/2024,  Corporate  ,EAST,Singapore,  Singapore  ,VoltX Pro,70,452,DC Fast,No,ONLINE,38240,0,38050,5,Standard,63,3.8,None,No,14.6,23990,734.41
500103,1201,1-Oct-24,10-15-2024,FLEET,  North  ,MALAYSIA,  Kuala Lumpur  ,UrbanEV,60,368,home charger,Yes,Dealership,46350,2500,44390,6,Standard,,5,NONE,No,20.8,19540,528.82
500104,2981,7-Jul-23,23-Jul-23,PERSONAL,north,malaysia,shah alam,FamilyEV XL,75,448,ac,No,Online,56260,5000,49840,3,Extended,46,8.1,None,No,18.3,18960,343.98
500105,1995,14/11/2022,29/11/2022,personal,South,THAILAND,Chiang Mai,EcoRide 3,70,412,DC Fast,Yes,online,,5000,20810,3,Standard,26,6.8,  None  ,No,17.6,26880,752.68
500106,1269,01-16-2023,01-20-2023,Fleet,South,THAILAND,bangkok,VoltX Pro,70,433,ac,Yes,online,43810,0,45520,4,  Extended  ,57,6,Software,No,18.2,16480,555.47
500107,2886,14/1/2022,19/1/2022,Corporate,EAST,Malaysia,Shah Alam,VoltX S,50,310,  DC Fast  ,No,  Online  ,31110,7500,24630,4,  Standard  ,,4.5,NONE,No,18.8,20950,240.31
500108,1815,05-19-2023,31/5/2023,  Personal  ,East,vietnam,Hanoi,VoltX S,80,471,DC Fast,Yes,  Dealership  ,45000,1000,44840,6,STANDARD,51,8.4,Software,No,18.9,27100,652.96
500109,2294,19-Aug-22,08-30-2022,Personal,South,MALAYSIA,SHAH ALAM,FamilyEV XL,70,428,DC FAST,No,  Online  ,50850,1000,48960,5,STANDARD,43,7.1,software,No,14.5,16800,652.76
500110,1455,10/5/2022,20/5/2022,  Corporate  ,north,SINGAPORE,SINGAPORE,UrbanEV,70,398,  DC Fast  ,Yes,ONLINE,41420,0,39900,3,Standard,28,7.8,motor,No,20.8,30900,244.6
500111,2485,17-Apr-24,29/4/2024,Fleet,North,SINGAPORE,SINGAPORE,VoltX Pro,90,556,AC,No,  Online  ,"51,480",1000,,7,STANDARD,43,8.2,  None  ,No,18.9,10540 km,521.45
500112,2750,9/6/2024,30/6/2024,personal,east,MALAYSIA,Kuala Lumpur,FamilyEV XL,75,429,  Supercharger  ,Yes,  Dealership  ,54530,2500,52130,8,PREMIUM,49,5.5,None,No,15.8,22270,620.95
500113,2275,28/1/2022,2/2/2022,PERSONAL,South,VIETNAM,  Ho Chi Minh City  ,VoltX Pro,70,,dc fast,No,dealership,47810,2500,45840,5,STANDARD,30,6.3,None,Yes,19.3,22530,166.99
500114,2016,7/3/2022,14/3/2022,Personal,East,MALAYSIA,  Johor Bahru  ,UrbanEV,100,587,AC,No,dealership,41400,5000,37980,5,  Standard  ,37,6.4,NONE,No,13,7130,711.1
500115,2725,18/9/2022,23/9/2022,Fleet,North,MALAYSIA,SHAH ALAM,UrbanEV,75,,Home Charger,No,  Dealership  ,48750,2500,45050,3,EXTENDED,46,8.7,NONE,Yes,19.6,16800,362.31
500116,1295,5/4/2023,04-23-2023,  Personal  ,  East  ,malaysia,penang,EcoRide 5,80,481,AC,Yes,DEALERSHIP,56770,1000,55200,5,STANDARD,28,10,  None  ,No,17.9,26180,326.97
500117,2748,28-Oct-22,16/11/2022,government,  West  ,Thailand,  Chiang Mai  ,EcoRide 5,100,610,  Supercharger  ,No,  Online  ,35680,2500,34810,5,STANDARD,26,8.9,None,No,10.6,16950,443.18
500118,1719,7/7/2024,24/7/2024,Personal,SOUTH,  Singapore  ,,UrbanEV,90,490,dc fast,No,  Corporate Fleet  ,,0,51170,8,extended,,8.2,  Battery  ,No,23,20150,639.85
500119,2772,10-14-2022,10-19-2022,  Personal  ,  South  ,  Thailand  ,Bangkok,EcoRide 3,100,,dc fast,No,  Online  ,35980,2500,33700,6,  Standard  ,54,6.5,NONE,No,,19150,699.43
500120,1337,30/10/2024,13/11/2024,FLEET,West,Malaysia,PENANG,FamilyEV XL,50,,AC,No,  Online  ,34380,1000,31460,6,standard,28,,none,No,18.7,28820,833.02
500121,1878,09-22-2023,3-Oct-23,Corporate,SOUTH,  Malaysia  ,kuala lumpur,EcoRide 5,50,335,AC,Yes,Dealership,36370,0,36020,4,,67,3.75,none,No,21.2,24400,321.35
500122,2076,27/9/2022,11-Oct-22,corporate,East,indonesia,  Jakarta  ,UrbanEV,80,482,  AC  ,Yes,DEALERSHIP,44720,1000,45690,5,Standard,53,6.5,None,No,10,18850,573.38
500123,1791,15/8/2023,1-Sep-23,PERSONAL,  North  ,Malaysia,JOHOR BAHRU,VoltX Pro,80,473,supercharger,No,  Dealership  ,53840,5000,49390,4,Premium,69,,Battery,No,17.7,16980,636.39
500124,2945,04-23-2024,04-27-2024,CORPORATE,  East  ,indonesia,SURABAYA,FamilyEV XL,100,580,supercharger,No,  Online  ,30920,2500,29740,7,standard,,10,SOFTWARE,No,19.7,28060,596.95
500125,1216,11/5/2024,05-31-2024,fleet,  North  ,MALAYSIA,shah alam,EcoRide 5,90,563,SUPERCHARGER,Yes,Dealership,51930,5000,,4,PREMIUM,37,9.1,MOTOR,No,20.3,23010,304.09
500126,1763,13/5/2022,27/5/2022,PERSONAL,West,  Indonesia  ,  Jakarta  ,EcoRide 3,90,559,HOME CHARGER,Yes,dealership,43930,1000,43460,5,Extended,63,10,software,No,20.7,29050,551.33
